txn_id,TXN_TIMESTAMP,AMOUNT,PAYER_VPA,BENEFICIARY_VPA,PAYER_IFSC,BENEFICIARY_IFSC,INITIATION_MODE,TRANSACTION_TYPE,failed_txn_count_24h,consecutive_failures,device_user_count,txn_count_1h,amount_sum_1h,IS_FRAUD
9f3371746839403385690f41,2025-03-06 00:09:05,1765.06,a0zz189gb0@ptyes,xd2p9qd6nsp@cbin,b3d4201006371a0d9f87,dd2b26fa3b226776415f,APP,P2M,6,5,4,11,7482.207401762871,1
d415b1087a7e4281a92f5db4,2025-03-07 02:42:40,16.14,5246739164gjo6@ptyes,gkcpz4u0a@okaxis,c39ad20696cbfd83e373,ea242118f8d0061a004b,APP,P2M,1,1,4,12,6588.768879305523,1
1205bd1867d548edaec1865e,2025-03-09 02:55:18,17660.25,j3j65v0q1@ptaxis,zvwp05grzq@okaxis,a99d5426781bd3fc6720,7f40e04a93f7e5507153,APP,P2M,12,4,3,9,4941.605368560047,1
812dbf88f857453e91e756ee,2025-03-08 04:36:20,22543.62,30374455644leegdi@centralbank,9u9nw9yy07@centralbank,b31ac6858127feb9a5be,e64a1a3fe1a48188cfa1,APP,P2P,11,6,3,9,24666.807082895353,1
d5e5fac0526b43acabbf75ea,2025-03-06 05:12:26,2028.09,nul9l@okhdfcbank,ouuflhrky@pthdfc,487d74bffcab0493ec4b,1b05711b64781077ef00,APP,P2M,12,6,3,12,4652.029563828926,1
f54872c808d84108a9def307,2025-03-08 00:00:12,1345.3,0963167506r8ggt@paytm,makequ7ul3@paytm,77ca0f907cbc1864f924,900cedb16fab877abed4,APP,P2P,10,4,3,8,8090.66801334975,1
55a22af0950f4cca8ec57fe2,2025-03-06 03:40:07,1190.33,hbac1iw63c3@ptybl,n25qfinaul4k@sbin,487d74bffcab0493ec4b,dd2b26fa3b226776415f,APP,P2M,11,4,3,11,13439.963054354575,1
b7dcb796d5a34a0b94b9c313,2025-03-02 05:21:51,948.19,o1g5ag2w72km4l4a@axl,cmqb04mm15@oksbi,9a9ca65bbde43e09517e,77b2eb9fdfc2122128cf,APP,P2P,11,6,4,11,7083.464141736029,1
b2cff2ab604b47778c2cef28,2025-03-03 03:45:09,112.81,j56lfjjkk2@ptyes,ph19hiy3y2z2@axl,28088b1f2f48bbdd8453,d160d8e0828f0ff9193d,APP,P2P,12,6,4,8,7712.108979043074,1
7875bed96733420b9290d999,2025-03-09 01:21:16,15165.9,9c01dk9y90@okhdfcbank,016779254353@paytm,538fe0456675c778efa3,dc3bd3c80210a98dcf2e,APP,P2P,12,2,3,5,9974.678963713679,1
