txn_id,TXN_TIMESTAMP,AMOUNT,PAYER_VPA,BENEFICIARY_VPA,PAYER_IFSC,BENEFICIARY_IFSC,INITIATION_MODE,TRANSACTION_TYPE,failed_txn_count_24h,consecutive_failures,device_user_count,txn_count_1h,amount_sum_1h,IS_FRAUD
dc265e4129254bd08e1e7e80,2025-03-07 03:13:12,1298.72,2652595245ms5w924@ptaxis,spk4k@centralbank,094200535129ee1a87ac,04eaf61b02dae5d873b8,APP,P2M,7,6,3,6,9214.470678057662,1
777c7c32be2e45859080ea03,2025-03-07 01:03:45,64264.0,ldcs7rj8s@ptaxis,mgmd38zif0@ptybl,86eaab51a1d79d49a2db,759c0888ec6b04f592f9,APP,P2P,12,1,4,12,14391.466392562805,1
0924d61f3b4d456680aaeeb3,2025-03-07 23:58:19,1285.08,idcwc06vjt9@sbin,bz6ho3w@axisbank,2a33ff84ce4f11cfbf48,d60948b44ac655452e6b,APP,P2M,12,5,4,11,7961.489046900964,1
ca3bf279962f43709dd4cfa2,2025-03-08 04:24:38,6195.47,rw1gq6lx9@okaxis,gz2o2c875@okaxis,80ce03e5c1d8ec2e7f0d,6fa41234f86fb8131108,APP,P2M,12,5,4,12,11832.703245328128,1
5ad049dc6b2a43f88143a953,2025-03-08 23:11:13,1500.89,a7eoohuqn@okaxis,swaj6ngh1r3@oksbi,eaff3cdef03533f20c88,f818ad7e04fb7f0a765c,APP,P2P,12,4,4,11,41544.74440244438,1
6db142abcd3345fa90488dad,2025-03-09 22:05:41,7352.31,87379607699t9@ybl,onk4elt1xnh@sbin,e7b1fdc63770ede22ac8,77b2eb9fdfc2122128cf,APP,P2P,12,6,3,10,23477.966961147315,1
911aff01e7384fc3a226b6c8,2025-03-03 01:23:00,498.85,qruxpdyy0gb@cbin,4369760060i8@axl,d01c18042ee1b4731847,65203aa29bb616b4f77d,APP,P2M,5,2,3,12,15195.727167169294,1
c069953efa844f22957c5e1a,2025-03-06 22:14:00,1375.38,401xos4n4k9p@ptaxis,1qyd69qji2m@paytm,d01c18042ee1b4731847,b4b4d2b1a4333d0b258d,APP,P2P,10,6,3,10,14017.51303943268,1
6c506ab4573f4e4fb584182c,2025-03-05 00:47:38,7479.58,1703831428g4@okicici,505912992201@ybl,d8b7ac0773197f0174e7,dd2b26fa3b226776415f,APP,P2M,12,6,4,11,18885.707261567044,1
3ed5d629382646cfad0c641b,2025-03-07 22:09:01,30.93,6nh3lcnw6h@oksbi,1pk9e8ax57@paytm,10455c013a48800d4686,04eaf61b02dae5d873b8,APP,P2P,11,3,3,11,9738.930199491491,1
9a5f0e04c0714a3fa3b26b32,2025-03-09 22:03:32,10.85,c8zzr1hv5wc@cbin,vw1bqk1k6j4@oksbi,e8d5f8902abc62d74e4c,3dc523217f18c52ce3a2,APP,P2P,9,5,4,12,16662.255278215915,1
bd687b45fadf4adcb8218f2b,2025-03-08 03:15:47,2147.7,dmao94motd@paytm,70sm6q2iue@paytm,b110276a07f39fcba552,5556746fdb05030abcc8,APP,P2M,12,1,3,12,12116.852820438522,1
0b8e84c348f3405a89adfc7e,2025-03-03 23:07:35,5329.02,hs0pjhsgm@pthdfc,f7y9gubnp@ptaxis,28088b1f2f48bbdd8453,ecd78500d184b3f73c1d,APP,P2P,5,2,4,12,8812.584736207085,1
ae93244b8e1543658efcf852,2025-03-03 02:18:25,152.54,45573211739a@ptaxis,2008010606hb2iyr3@ybl,b4d5eab3ba42bee2f884,1b05711b64781077ef00,APP,P2M,8,3,4,12,50000.0,1
6b7dfa4efd9b4125acedcb7b,2025-03-05 04:49:31,13.61,lb3it4zt4@pthdfc,q1m919@centralbank,e7b1fdc63770ede22ac8,dd2b26fa3b226776415f,APP,P2M,7,6,4,12,16177.13944004753,1
2134d1ffc1634b28a4061519,2025-03-04 03:47:40,2160.92,5410915167ni8@ptybl,5nrumuovgy@ptybl,d543edf5c53b359975de,60730618f7d3507066d9,APP,P2P,12,1,2,6,12790.866356170613,1
0390eb2c78b947ffa205792d,2025-03-03 02:30:32,1524.52,cn3046at47x@pthdfc,m7e1@centralbank,8e9b15420b60e6b093b1,1b05711b64781077ef00,APP,P2M,10,0,4,11,10467.45537834281,1
8a959c118d754d0383ca7b33,2025-03-07 05:16:22,60496.67,q6mo7l5dm@pthdfc,b9dd14y8dr@oksbi,2eb55cbae5061d4b347c,dd2b26fa3b226776415f,APP,P2M,7,6,3,11,10492.549480868647,1
c479fa6629e144869fc3cf14,2025-03-02 05:22:41,122.2,7u8neq2rofk@okaxis,65yk65csuisz@oksbi,2eb55cbae5061d4b347c,1b05711b64781077ef00,APP,P2M,11,3,4,5,18120.481735513233,1
84dbfeb567524eff9e5deb20,2025-03-05 01:30:49,111.47,k6lbo1dx71@ptybl,h3gn11dwt@okaxis,d8b7ac0773197f0174e7,478f6d0af35a344d30eb,APP,P2M,7,6,4,11,9962.245966680657,1
620836ec0144406398801af7,2025-03-07 04:43:35,372.05,9241842331d8bqnhz@oksbi,7504932288rcc263@axisbank,e1b3d1f771e2a93d6e2a,178ed8d2852db9ef46a7,APP,P2P,9,6,4,9,13989.172900951167,1
784fe128fd9440bca5eae8fc,2025-03-03 06:41:54,849.53,siidnwdmj2@oksbi,kkt1otlwh4t@okicici,2eb55cbae5061d4b347c,2d8cfd1555c18a4d7db3,APP,P2P,11,4,3,11,41706.617775425635,1
24a3c4cb7d56464382e3c7a9,2025-03-06 05:24:15,1096.78,p8t4@centralbank,de66g2o1w700095ll72n@oksbi,f1e1e03419804e9b630e,d1f564f88a35a86e084b,APP,P2M,2,0,4,12,9171.819477956325,1
7b8681863ba949fa9c958a83,2025-03-06 01:05:39,12690.31,62rqba0zzf@ptybl,swsz971viwjh@ptaxis,b110276a07f39fcba552,718fbb86be691c95520d,APP,P2P,12,6,4,9,7729.839694556092,1
0e329d8ba42c43dbb64d1366,2025-03-08 01:37:56,536.75,u7wbqx23@okicici,6017187576o9@ibl,07157e311dfab47bec98,0cfa4d8fa5c434799ffd,APP,P2M,9,6,4,12,10442.550517476138,1
4a11df5c982e483b9469241d,2025-03-07 22:00:07,468.91,t1hqt@okhdfcbank,n2v8ff20hkcee@ptaxis,8cf88b968819a616324a,7858b542bffcaa1ca503,APP,P2M,7,4,3,12,18241.069495694523,1
